SNo 	Stn Code 	Stn Name 	Route No. 	Arrival Time 	Dep. Time 	Halt Time (In Minutes) 	Distance 	Day 	Remark
1 	MYS 	MYSORE JN 	1 	Source 	15:45 		0 	1
2 	MYA 	MANDYA 	1 	16:33 	16:35 	2:00 	46 	1
3 	MAD 	MADDUR 	1 	16:53 	16:55 	2:00 	65 	1
4 	KGI 	KENGERI 	1 	17:59 	18:00 	1:00 	127 	1
5 	SBC 	BANGALORE CY JN 	1 	18:45 	19:05 	20:00 	139 	1
6 	BNC 	BANGALORE CANT 	1 	19:15 	19:20 	5:00 	143 	1
7 	CRLM 	CARMELARAM 	1 	19:37 	19:38 	1:00 	163 	1
8 	HSRA 	HOSUR 	1 	20:03 	20:05 	2:00 	198 	1
9 	DPJ 	DHARMAPURI 	1 	21:56 	21:58 	2:00 	290 	1
10 	SA 	SALEM JN 	1 	23:42 	23:45 	3:00 	357 	1
11 	ED 	ERODE JN 	1 	00:50 	01:00 	10:00 	419 	2
12 	PGR 	PUGALUR 	1 	01:44 	01:45 	1:00 	470 	2
13 	KRR 	KARUR 	1 	02:07 	02:10 	3:00 	485 	2
14 	KLT 	KULITALAI 	1 	02:44 	02:45 	1:00 	523 	2
15 	PLI 	PETTAIVAYATALAI 	1 	02:54 	02:55 	1:00 	532 	2
16 	TP 	TIRCHRPALI FORT 	1 	03:29 	03:30 	1:00 	556 	2
17 	TPJ 	TIRUCHCHIRAPALI 	1 	03:55 	04:05 	10:00 	560 	2
18 	TRB 	TIRUVERUMBUR 	1 	04:20 	04:21 	1:00 	570 	2
19 	BAL 	BUDALUR 	1 	04:35 	04:36 	1:00 	593 	2
20 	TJ 	THANJAVUR 	1 	04:48 	04:50 	2:00 	610 	2
21 	PML 	PAPANASAM 	1 	05:10 	05:11 	1:00 	635 	2
22 	KMU 	KUMBAKONAM 	1 	05:43 	05:45 	2:00 	649 	2
23 	ADT 	ADUTURAI 	1 	05:59 	06:00 	1:00 	661 	2
24 	KTM 	KUTRALAM 	1 	06:09 	06:10 	1:00 	672 	2
25 	MV 	MAYILADUTURAI J 	1 	07:00 	Destination 		680 	2
