SNo 	Stn Code 	Stn Name 	Route No. 	Arrival Time 	Dep. Time 	Halt Time (In Minutes) 	Distance 	Day 	Remark
1 	MAS 	CHENNAI CENTRAL 	1 	Source 	19:45 		0 	1
2 	KPD 	KATPADI JN 	1 	21:28 	21:30 	2:00 	130 	1
3 	SA 	SALEM JN 	1 	00:05 	00:10 	5:00 	334 	2
4 	ED 	ERODE JN 	1 	01:05 	01:10 	5:00 	396 	2
5 	PGT 	PALAKKAD 	1 	03:35 	03:40 	5:00 	538 	2
6 	TCR 	THRISUR 	1 	04:47 	04:50 	3:00 	615 	2
7 	AFK 	ANGAMALI 	1 	05:33 	05:35 	2:00 	661 	2
8 	AWY 	ALUVA 	1 	05:45 	05:47 	2:00 	670 	2
9 	ERN 	ERNAKULAM TOWN 	1 	06:20 	06:25 	5:00 	687 	2
10 	TRTR 	TRIUPUNITTURA 	1 	06:43 	06:45 	2:00 	699 	2
11 	KTYM 	KOTTAYAM 	1 	07:35 	07:40 	5:00 	749 	2
12 	CGY 	CHANGANASERI 	1 	07:56 	07:58 	2:00 	767 	2
13 	TRVL 	TIRUVALLA 	1 	08:06 	08:08 	2:00 	775 	2
14 	CNGR 	CHENGANNUR 	1 	08:16 	08:18 	2:00 	784 	2
15 	MVLK 	MAVELIKARA 	1 	08:28 	08:30 	2:00 	796 	2
16 	KYJ 	KAYANKULAM JN 	1 	08:43 	08:45 	2:00 	804 	2
17 	QLN 	KOLLAM JN 	1 	09:55 	10:00 	5:00 	845 	2
18 	VAK 	VARKALASIVAGIRI 	1 	10:23 	10:25 	2:00 	868 	2
19 	TVP 	TRIVANDRUM PETT 	1 	10:53 	10:55 	2:00 	907 	2
20 	TVC 	TRIVANDRUM CNTL 	1 	11:25 	Destination 		909 	2
